# Recognized university email domains used by Offline mode.
utoronto.ca
mail.utoronto.ca
mit.edu
harvard.edu
stanford.edu
ox.ac.uk
cam.ac.uk
imperial.ac.uk
ethz.ch
epfl.ch
nus.edu.sg
tsinghua.edu.cn
pku.edu.cn
ubc.ca
mcgill.ca
uwaterloo.ca
